종목코드,종목명,시가총액,섹터,,,섹터분류
005930,삼성전자," 1,984,811,587,416,000 ",반도체,,,반도체
000660,SK하이닉스," 1,905,053,421,645,000 ",반도체,,,전기전자
402340,SK스퀘어,"226,968,423,920,000",금융·지주,,,전력기기·전력인프라·원전
005935,삼성전자우,"176,922,850,261,500",반도체,,,조선·방산·우주항공
009150,삼성전기,"148,864,536,128,000",전기전자,,,자동차·모빌리티
005380,현대차,"98,386,106,563,000",자동차·모빌리티,,,2차전지·배터리소재
032830,삼성생명,"86,500,000,000,000",금융·지주,,,바이오·의료기기
028260,삼성물산,"80,191,868,804,500",건설·운송·상사,,,K소비재·유통
373220,LG에너지솔루션,"77,571,000,000,000",2차전지·배터리소재,,,인터넷·소프트웨어·게임·콘텐츠
207940,삼성바이오로직스,"62,168,747,193,000",바이오·의료기기,,,금융·지주
329180,HD현대중공업,"59,198,130,900,000",조선·방산·우주항공,,,철강·비철금속
034730,SK,"59,089,702,945,000",금융·지주,,,정유·화학·석유화학
105560,KB금융,"52,954,878,686,200",금융·지주,,,건설·운송·상사
000270,기아,"52,822,878,629,400",자동차·모빌리티,,,
012450,한화에어로스페이스,"52,130,598,411,000",조선·방산·우주항공,,,
034020,두산에너빌리티,"51,949,508,940,600",전력기기·전력인프라·원전,,,
012330,현대모비스,"44,141,401,629,500",자동차·모빌리티,,,
055550,신한지주,"43,478,339,467,600",금융·지주,,,
068270,셀트리온,"36,768,975,087,600",바이오·의료기기,,,
006400,삼성SDI,"36,666,416,150,000",2차전지·배터리소재,,,
066570,LG전자,"31,909,100,584,200",전기전자,,,
267260,HD현대일렉트릭,"31,829,620,205,000",전력기기·전력인프라·원전,,,
035420,NAVER,"30,812,737,995,200",인터넷·소프트웨어·게임·콘텐츠,,,
010120,LS ELECTRIC,"30,450,000,000,000",전력기기·전력인프라·원전,,,
086790,하나금융지주,"30,098,141,955,600",금융·지주,,,
042660,한화오션,"30,028,512,612,000",조선·방산·우주항공,,,
298040,효성중공업,"28,934,072,444,000",전력기기·전력인프라·원전,,,
000810,삼성화재,"28,395,792,828,000",금융·지주,,,
042700,한미반도체,"24,542,891,500,000",반도체,,,
009540,HD한국조선해양,"24,452,111,578,000",조선·방산·우주항공,,,
005490,POSCO홀딩스,"24,168,665,735,000",철강·비철금속,,,
015760,한국전력,"23,816,867,256,700",전력기기·전력인프라·원전,,,
000150,두산,"23,351,510,070,000",전기전자,,,
